CommonName,ScientificName,CNFromBirdlife,SNFromBirdlife,DisplayOrder,ServcatClassID
Dusky Flycatcher,Empidonax oberholseri,American Dusky Flycatcher,Empidonax oberholseri,588,85832
Pacific-slope Flycatcher,Empidonax difficilis,Pacific-slope Flycatcher,Empidonax difficilis,589,85834
Cordilleran Flycatcher,Empidonax occidentalis,Cordilleran Flycatcher,Empidonax occidentalis,590,264077
Buff-breasted Flycatcher,Empidonax fulvifrons,Buff-breasted Flycatcher,Empidonax fulvifrons,591,85839
Black Phoebe,Sayornis nigricans,Black Phoebe,Sayornis nigricans,592,85815
Eastern Phoebe,Sayornis phoebe,Eastern Phoebe,Sayornis phoebe,593,85813
Say's Phoebe,Sayornis saya,Say's Phoebe,Sayornis saya,594,85818
Vermilion Flycatcher,Pyrocephalus rubinus,Vermilion Flycatcher,Pyrocephalus rubinus,595,85860
Dusky-capped Flycatcher,Myiarchus tuberculifer,Dusky-capped Flycatcher,Myiarchus tuberculifer,596,85802
Ash-throated Flycatcher,Myiarchus cinerascens,Ash-throated Flycatcher,Myiarchus cinerascens,597,85799
Nutting's Flycatcher,Myiarchus nuttingi,Nutting's Flycatcher,Myiarchus nuttingi,598,85807
Great Crested Flycatcher,Myiarchus crinitus,Great Crested Flycatcher,Myiarchus crinitus,599,85791
Brown-crested Flycatcher,Myiarchus tyrannulus,Brown-crested Flycatcher,Myiarchus tyrannulus,600,85795
La Sagra's Flycatcher,Myiarchus sagrae,La Sagra's Flycatcher,Myiarchus sagrae,601,85811
Great Kiskadee,Pitangus sulphuratus,Great Kiskadee,Pitangus sulphuratus,602,85783
Social Flycatcher,Myiozetetes similis,Social Flycatcher,Myiozetetes similis,603,279859
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,604,85787
Piratic Flycatcher,Legatus leucophaius,Piratic Flycatcher,Legatus leucophaius,605,282368
Variegated Flycatcher,Empidonomus varius,Variegated Flycatcher,Empidonomus varius,606,87336
Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus,Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus,607,598123
Tropical Kingbird,Tyrannus melancholicus,Tropical Kingbird,Tyrannus melancholicus,608,85761
Couch's Kingbird,Tyrannus couchii,Couch's Kingbird,Tyrannus couchii,609,85771
Cassin's Kingbird,Tyrannus vociferans,Cassin's Kingbird,Tyrannus vociferans,610,85767
Thick-billed Kingbird,Tyrannus crassirostris,Thick-billed Kingbird,Tyrannus crassirostris,611,85772
Western Kingbird,Tyrannus verticalis,Western Kingbird,Tyrannus verticalis,612,85766
Eastern Kingbird,Tyrannus tyrannus,Eastern Kingbird,Tyrannus tyrannus,613,85757
Gray Kingbird,Tyrannus dominicensis,Grey Kingbird,Tyrannus dominicensis,614,85759
Loggerhead Kingbird,Tyrannus caudifasciatus,Loggerhead Kingbird,Tyrannus caudifasciatus,615,85770
Scissor-tailed Flycatcher,Tyrannus forficatus,Scissor-tailed Flycatcher,Tyrannus forficatus,616,85773
Fork-tailed Flycatcher,Tyrannus savana,Fork-tailed Flycatcher,Tyrannus savana,617,85774
Masked Tityra,Tityra semifasciata,Masked Tityra,Tityra semifasciata,618,266860
Gray-collared Becard,Pachyramphus major,Grey-collared Becard,Pachyramphus major,619,279136
Rose-throated Becard,Pachyramphus aglaiae,Rose-throated Becard,Pachyramphus aglaiae,620,87338
Brown Shrike,Lanius cristatus,Brown Shrike,Lanius cristatus,621,88288
Loggerhead Shrike,Lanius ludovicianus,Loggerhead Shrike,Lanius ludovicianus,622,88277
Northern Shrike,Lanius excubitor,Great Grey Shrike,Lanius excubitor,623,88273
Black-capped Vireo,Vireo atricapilla,Black-capped Vireo,Vireo atricapilla,624,93551
White-eyed Vireo,Vireo griseus,White-eyed Vireo,Vireo griseus,625,93552
Thick-billed Vireo,Vireo crassirostris,Thick-billed Vireo,Vireo crassirostris,626,93594
Bell's Vireo,Vireo bellii,Bell's Vireo,Vireo bellii,627,93567
Gray Vireo,Vireo vicinior,Grey Vireo,Vireo vicinior,628,93572
Hutton's Vireo,Vireo huttoni,Hutton's Vireo,Vireo huttoni,629,93558
Yellow-throated Vireo,Vireo flavifrons,Yellow-throated Vireo,Vireo flavifrons,630,93573
Cassin's Vireo,Vireo cassinii,Cassin's Vireo,Vireo cassinii,631,266864
Blue-headed Vireo,Vireo solitarius,Blue-headed Vireo,Vireo solitarius,632,93575
Plumbeous Vireo,Vireo plumbeus,Plumbeous Vireo,Vireo plumbeus,633,266908
Philadelphia Vireo,Vireo philadelphicus,Philadelphia Vireo,Vireo philadelphicus,634,93588
Warbling Vireo,Vireo gilvus,Warbling Vireo,Vireo gilvus,635,93589
Red-eyed Vireo,Vireo olivaceus,Red-eyed Vireo,Vireo olivaceus,636,93587
Yellow-green Vireo,Vireo flavoviridis,Yellow-green Vireo,Vireo flavoviridis,637,93584
Black-whiskered Vireo,Vireo altiloquus,Black-whiskered Vireo,Vireo altiloquus,638,93581
Yucatan Vireo,Vireo magister,Yucatan Vireo,Vireo magister,639,266866
Gray Jay,Perisoreus canadensis,Grey Jay,Perisoreus canadensis,640,86237
Brown Jay,Psilorhinus morio,Brown Jay,Psilorhinus morio,641,284969
Green Jay,Cyanocorax yncas,Green Jay,Cyanocorax yncas,642,87085
Pinyon Jay,Gymnorhinus cyanocephalus,Pinyon Jay,Gymnorhinus cyanocephalus,643,87124
Steller's Jay,Cyanocitta stelleri,Steller's Jay,Cyanocitta stelleri,644,86257
Blue Jay,Cyanocitta cristata,Blue Jay,Cyanocitta cristata,645,86252
Florida Scrub-Jay,Aphelocoma coerulescens,Florida Scrub-jay,Aphelocoma coerulescens,646,86266
Island Scrub-Jay,Aphelocoma insularis,Island Scrub-jay,Aphelocoma insularis,647,266938
California Scrub-Jay,Aphelocoma californica,Western Scrub-jay,Aphelocoma californica,648,266936
Woodhouse?s Scrub-Jay,Aphelocoma woodhouseii,,,649,918880
Mexican Jay,Aphelocoma wollweberi,Mexican Jay,Aphelocoma wollweberi,650,920231
Clark's Nutcracker,Nucifraga columbiana,Clark's Nutcracker,Nucifraga columbiana,651,87127
Black-billed Magpie,Pica hudsonia,Black-billed Magpie,Pica pica,652,626506
Yellow-billed Magpie,Pica nuttalli,Yellow-billed Magpie,Pica nuttalli,653,87097
Eurasian Jackdaw,Corvus monedula,Eurasian Jackdaw,Corvus monedula,654,87122
American Crow,Corvus brachyrhynchos,American Crow,Corvus brachyrhynchos,655,87106
Northwestern Crow,Corvus caurinus,North-western Crow,Corvus caurinus,656,87111
Tamaulipas Crow,Corvus imparatus,Tamaulipas Crow,Corvus imparatus,657,87119
Fish Crow,Corvus ossifragus,Fish Crow,Corvus ossifragus,658,87112
Chihuahuan Raven,Corvus cryptoleucus,Chihuahuan Raven,Corvus cryptoleucus,659,87105
Common Raven,Corvus corax,Common Raven,Corvus corax,660,87099
Eurasian Skylark,Alauda arvensis,Eurasian Skylark,Alauda arvensis,661,87353
Horned Lark,Eremophila alpestris,Horned Lark,Eremophila alpestris,662,264079
Purple Martin,Progne subis,Purple Martin,Progne subis,663,87427
Cuban Martin,Progne cryptoleuca,Cuban Martin,Progne cryptoleuca,664,87430
Gray-breasted Martin,Progne chalybea,Grey-breasted Martin,Progne chalybea,665,87431
Southern Martin,Progne elegans,Southern Martin,Progne elegans,666,265893
Brown-chested Martin,Progne tapera,Brown-chested Martin,Progne tapera,667,265895
Tree Swallow,Tachycineta bicolor,Tree Swallow,Tachycineta bicolor,668,87391
Mangrove Swallow,Tachycineta albilinea,Mangrove Swallow,Tachycineta albilinea,669,285196
Violet-green Swallow,Tachycineta thalassina,Violet-green Swallow,Tachycineta thalassina,670,87386
Bahama Swallow,Tachycineta cyaneoviridis,Bahama Swallow,Tachycineta cyaneoviridis,671,87392
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Stelgidopteryx serripennis,672,87404
Bank Swallow,Riparia riparia,Sand Martin,Riparia riparia,673,87396
Cliff Swallow,Petrochelidon pyrrhonota,Cliff Swallow,Petrochelidon pyrrhonota,674,87417
Cave Swallow,Petrochelidon fulva,Cave Swallow,Petrochelidon fulva,675,87423
Barn Swallow,Hirundo rustica,Barn Swallow,Hirundo rustica,676,87409
Common House-Martin,Delichon urbicum,Northern House-martin,Delichon urbicum,677,626502
Carolina Chickadee,Poecile carolinensis,Carolina Chickadee,Parus carolinensis,678,265876
Black-capped Chickadee,Poecile atricapillus,Black-capped Chickadee,Parus atricapillus,679,265874
Mountain Chickadee,Poecile gambeli,Mountain Chickadee,Parus gambeli,680,265880
Mexican Chickadee,Poecile sclateri,Mexican Chickadee,Parus sclateri,681,265886
Chestnut-backed Chickadee,Poecile rufescens,Chestnut-backed Chickadee,Parus rufescens,682,265884
Boreal Chickadee,Poecile hudsonicus,Boreal Chickadee,Parus hudsonicus,683,265882
Gray-headed Chickadee,Poecile cinctus,Siberian Tit,Parus cinctus,684,265878
Bridled Titmouse,Baeolophus wollweberi,Bridled Titmouse,Baeolophus wollweberi,685,266964
Oak Titmouse,Baeolophus inornatus,Oak Titmouse,Baeolophus inornatus,686,266962
Juniper Titmouse,Baeolophus ridgwayi,Juniper Titmouse,Baeolophus ridgwayi,687,472370
Tufted Titmouse,Baeolophus bicolor,Tufted Titmouse,Baeolophus bicolor,688,266957
Black-crested Titmouse,Baeolophus atricristatus,Black-crested Titmouse,Baeolophus atricristatus,689,276217
Verdin,Auriparus flaviceps,Verdin,Auriparus flaviceps,690,90917
Bushtit,Psaltriparus minimus,Bushtit,Psaltriparus minimus,691,90923
Red-breasted Nuthatch,Sitta canadensis,Red-breasted Nuthatch,Sitta canadensis,692,90945
White-breasted Nuthatch,Sitta carolinensis,White-breasted Nuthatch,Sitta carolinensis,693,90935
Pygmy Nuthatch,Sitta pygmaea,Pygmy Nuthatch,Sitta pygmaea,694,90949
Brown-headed Nuthatch,Sitta pusilla,Brown-headed Nuthatch,Sitta pusilla,695,90946
Brown Creeper,Certhia americana,American Treecreeper,Certhia americana,696,90967
Rock Wren,Salpinctes obsoletus,Rock Wren,Salpinctes obsoletus,697,88387
Canyon Wren,Catherpes mexicanus,Canyon Wren,Catherpes mexicanus,698,88383
House Wren,Troglodytes aedon,House Wren,Troglodytes aedon,699,88306
Pacific Wren,Troglodytes pacificus,,,700,921891
Winter Wren,Troglodytes hiemalis,Winter Wren,Troglodytes troglodytes,701,916247
Sedge Wren,Cistothorus platensis,Sedge Wren,Cistothorus platensis,702,88377
Marsh Wren,Cistothorus palustris,Marsh Wren,Cistothorus palustris,703,88380
Carolina Wren,Thryothorus ludovicianus,Carolina Wren,Thryothorus ludovicianus,704,88350
Bewick's Wren,Thryomanes bewickii,Bewick's Wren,Thryomanes bewickii,705,88329
Cactus Wren,Campylorhynchus brunneicapillus,Cactus Wren,Campylorhynchus brunneicapillus,706,88356
Sinaloa Wren,Thryophilus sinaloa,Sinaloa Wren,Thryothorus sinaloa,707,910275
Blue-gray Gnatcatcher,Polioptila caerulea,Blue-grey Gnatcatcher,Polioptila caerulea,708,88038
California Gnatcatcher,Polioptila californica,California Gnatcatcher,Polioptila californica,709,265888
Black-tailed Gnatcatcher,Polioptila melanura,Black-tailed Gnatcatcher,Polioptila melanura,710,88042
Black-capped Gnatcatcher,Polioptila nigriceps,Black-capped Gnatcatcher,Polioptila nigriceps,711,88049
American Dipper,Cinclus mexicanus,American Dipper,Cinclus mexicanus,712,88300
Red-whiskered Bulbul,Pycnonotus jocosus,Red-whiskered Bulbul,Pycnonotus jocosus,713,88268
Golden-crowned Kinglet,Regulus satrapa,Golden-crowned Kinglet,Regulus satrapa,714,88051
Ruby-crowned Kinglet,Regulus calendula,Ruby-crowned Kinglet,Regulus calendula,715,88057
Willow Warbler,Phylloscopus trochilus,Willow Warbler,Phylloscopus trochilus,716,88025
Common Chiffchaff,Phylloscopus collybita,Common Chiffchaff,Phylloscopus collybita,717,284300
Wood Warbler,Phylloscopus sibilatrix,Wood Warbler,Phylloscopus sibilatrix,718,88031
Dusky Warbler,Phylloscopus fuscatus,Dusky Warbler,Phylloscopus fuscatus,719,88030
Pallas's Leaf Warbler,Phylloscopus proregulus,Lemon-rumped Warbler,Phylloscopus proregulus,720,284340
Yellow-browed Warbler,Phylloscopus inornatus,Inornate Warbler,Phylloscopus inornatus,721,284315
Arctic Warbler,Phylloscopus borealis,Arctic Warbler,Phylloscopus borealis,722,88027
Kamchatka Leaf Warbler,Phylloscopus examinandus,,,723,916399
Lesser Whitethroat,Sylvia curruca,Lesser Whitethroat,Sylvia curruca,724,284212
Wrentit,Chamaea fasciata,Wrentit,Chamaea fasciata,725,90992
Sedge Warbler,Acrocephalus schoenobaenus,Sedge Warbler,Acrocephalus schoenobaenus,726,276346
Blyth's Reed-Warbler,Acrocephalus dumetorum,Blyth's Reed-warbler,Acrocephalus dumetorum,727,276321
Middendorff's Grasshopper-Warbler,Locustella ochotensis,Middendorff's Grasshopper-warbler,Locustella ochotensis,728,88033
Lanceolated Warbler,Locustella lanceolata,Lanceolated Warbler,Locustella lanceolata,729,88036
Gray-streaked Flycatcher,Muscicapa griseisticta,Grey-streaked Flycatcher,Muscicapa griseisticta,730,90021
Asian Brown Flycatcher,Muscicapa dauurica,Asian Brown Flycatcher,Muscicapa dauurica,731,265798
Spotted Flycatcher,Muscicapa striata,Spotted Flycatcher,Muscicapa striata,732,283599
Dark-sided Flycatcher,Muscicapa sibirica,Dark-sided Flycatcher,Muscicapa sibirica,733,90022
Rufous-tailed Robin,Luscinia sibilans,Rufous-tailed Robin,Luscinia sibilans,734,277999
Siberian Rubythroat,Luscinia calliope,Siberian Rubythroat,Luscinia calliope,735,88002
Bluethroat,Luscinia svecica,Bluethroat,Luscinia svecica,736,87999
Siberian Blue Robin,Luscinia cyane,Siberian Blue Robin,Luscinia cyane,737,265373
Red-flanked Bluetail,Tarsiger cyanurus,Orange-flanked Bush-robin,Tarsiger cyanurus,738,88021
Narcissus Flycatcher,Ficedula narcissina,Narcissus Flycatcher,Ficedula narcissina,739,90031
Mugimaki Flycatcher,Ficedula mugimaki,Mugimaki Flycatcher,Ficedula mugimaki,740,264085
Taiga Flycatcher,Ficedula albicilla,Taiga Flycatcher,Ficedula albicilla,741,918451
Northern Wheatear,Oenanthe oenanthe,Northern Wheatear,Oenanthe oenanthe,742,87198
Common Redstart,Phoenicurus phoenicurus,Common Redstart,Phoenicurus phoenicurus,743,282994
Stonechat,Saxicola torquatus,Common Stonechat,Saxicola torquatus,744,626500
Eastern Bluebird,Sialia sialis,Eastern Bluebird,Sialia sialis,745,87184
Western Bluebird,Sialia mexicana,Western Bluebird,Sialia mexicana,746,87189
Mountain Bluebird,Sialia currucoides,Mountain Bluebird,Sialia currucoides,747,87195
Townsend's Solitaire,Myadestes townsendi,Townsend's Solitaire,Myadestes townsendi,748,88006
Brown-backed Solitaire,Myadestes occidentalis,Brown-backed Solitaire,Myadestes occidentalis,749,283645
Orange-billed Nightingale-Thrush,Catharus aurantiirostris,Orange-billed Nightingale-thrush,Catharus aurantiirostris,750,275232
Black-headed Nightingale-Thrush,Catharus mexicanus,Black-headed Nightingale-thrush,Catharus mexicanus,751,275244
Veery,Catharus fuscescens,Veery,Catharus fuscescens,752,87177
Gray-cheeked Thrush,Catharus minimus,,Catharus minimus,753,87174
Bicknell's Thrush,Catharus bicknelli,Bicknell's Thrush,Catharus bicknelli,754,266978
Swainson's Thrush,Catharus ustulatus,Swainson's Thrush,Catharus ustulatus,755,87168
Hermit Thrush,Catharus guttatus,Hermit Thrush,Catharus guttatus,756,87158
Wood Thrush,Hylocichla mustelina,Wood Thrush,Hylocichla mustelina,757,87156
Eurasian Blackbird,Turdus merula,Eurasian Blackbird,Turdus merula,758,87134
Eyebrowed Thrush,Turdus obscurus,Eyebrowed Thrush,Turdus obscurus,759,87145
Dusky Thrush,Turdus naumanni,Dusky Thrush,Turdus naumanni,760,87133
Fieldfare,Turdus pilaris,Fieldfare,Turdus pilaris,761,87144
Redwing,Turdus iliacus,Redwing,Turdus iliacus,762,87147
Song Thrush,Turdus philomelos,Song Thrush,Turdus philomelos,763,290217
Clay-colored Thrush,Turdus grayi,Clay-coloured Thrush,Turdus grayi,764,87146
White-throated Thrush,Turdus assimilis,White-throated Thrush,Turdus assimilis,765,290136
Rufous-backed Robin,Turdus rufopalliatus,Rufous-backed Robin,Turdus rufopalliatus,766,87150
American Robin,Turdus migratorius,American Robin,Turdus migratorius,767,87136
Red-legged Thrush,Turdus plumbeus,Red-legged Thrush,Turdus plumbeus,768,87149
Varied Thrush,Ixoreus naevius,Varied Thrush,Zoothera naevia,769,87152
Aztec Thrush,Ridgwayia pinicola,Aztec Thrush,Zoothera pinicola,770,88019
Blue Mockingbird,Melanotis caerulescens,Blue Mockingbird,Melanotis caerulescens,771,280679
Gray Catbird,Dumetella carolinensis,Grey Catbird,Dumetella carolinensis,772,89977
Curve-billed Thrasher,Toxostoma curvirostre,Curve-billed Thrasher,Toxostoma curvirostre,773,89990
Brown Thrasher,Toxostoma rufum,Brown Thrasher,Toxostoma rufum,774,89979
Long-billed Thrasher,Toxostoma longirostre,Long-billed Thrasher,Toxostoma longirostre,775,89983
Bendire's Thrasher,Toxostoma bendirei,Bendire's Thrasher,Toxostoma bendirei,776,89989
California Thrasher,Toxostoma redivivum,California Thrasher,Toxostoma redivivum,777,89996
Le Conte's Thrasher,Toxostoma lecontei,Le Conte's Thrasher,Toxostoma lecontei,778,89999
Crissal Thrasher,Toxostoma crissale,Crissal Thrasher,Toxostoma crissale,779,90007
Sage Thrasher,Oreoscoptes montanus,Sage Thrasher,Oreoscoptes montanus,780,90009
Bahama Mockingbird,Mimus gundlachii,Bahama Mockingbird,Mimus gundlachii,781,89975
Northern Mockingbird,Mimus polyglottos,Northern Mockingbird,Mimus polyglottos,782,88394
European Starling,Sturnus vulgaris,Common Starling,Sturnus vulgaris,783,86204
Common Myna,Acridotheres tristis,Common Myna,Acridotheres tristis,784,265051
Bohemian Waxwing,Bombycilla garrulus,Bohemian Waxwing,Bombycilla garrulus,785,88292
Cedar Waxwing,Bombycilla cedrorum,Cedar Waxwing,Bombycilla cedrorum,786,88296
Gray Silky-flycatcher,Ptiliogonys cinereus,Grey Silky-flycatcher,Ptilogonys cinereus,787,285721
Phainopepla,Phainopepla nitens,Phainopepla,Phainopepla nitens,788,88064
Olive Warbler,Peucedramus taeniatus,Olive Warbler,Peucedramus taeniatus,789,92630
Siberian Accentor,Prunella montanella,Siberian Accentor,Prunella montanella,790,90016
Scaly-breasted Munia,Lonchura punctulata,Scaly-breasted Munia,Lonchura punctulata,791,86184
House Sparrow,Passer domesticus,House Sparrow,Passer domesticus,792,86194
Eurasian Tree Sparrow,Passer montanus,Eurasian Tree Sparrow,Passer montanus,793,86197
Eastern Yellow Wagtail,Motacilla tschutschensis,,Motacilla tschutschensis,794,626504
Citrine Wagtail,Motacilla citreola,Citrine Wagtail,Motacilla citreola,795,265379
Gray Wagtail,Motacilla cinerea,Grey Wagtail,Motacilla cinerea,796,87445
White Wagtail,Motacilla alba,White Wagtail,Motacilla alba,797,87440
Tree Pipit,Anthus trivialis,Tree Pipit,Anthus trivialis,798,88261
Olive-backed Pipit,Anthus hodgsoni,Olive-backed Pipit,Anthus hodgsoni,799,87461
Pechora Pipit,Anthus gustavi,Pechora Pipit,Anthus gustavi,800,87462
Red-throated Pipit,Anthus cervinus,Red-throated Pipit,Anthus cervinus,801,87464
American Pipit,Anthus rubescens,American Pipit,Anthus rubescens,802,266934
Sprague's Pipit,Anthus spragueii,Sprague's Pipit,Anthus spragueii,803,87465
Common Chaffinch,Fringilla coelebs,Eurasian Chaffinch,Fringilla coelebs,804,94276
Brambling,Fringilla montifringilla,Brambling,Fringilla montifringilla,805,94275
Asian Rosy-Finch,Leucosticte arctoa,Asian Rosy-finch,Leucosticte arctoa,806,95273
Gray-crowned Rosy-Finch,Leucosticte tephrocotis,Gray-crowned Rosy-finch,Leucosticte tephrocotis,807,94329
Black Rosy-Finch,Leucosticte atrata,Black Rosy-finch,Leucosticte atrata,808,94337
Brown-capped Rosy-Finch,Leucosticte australis,Brown-capped Rosy-finch,Leucosticte australis,809,94338
Pine Grosbeak,Pinicola enucleator,Pine Grosbeak,Pinicola enucleator,810,94318
Eurasian Bullfinch,Pyrrhula pyrrhula,Eurasian Bullfinch,Pyrrhula pyrrhula,811,94290
Common Rosefinch,Carpodacus erythrinus,Common Rosefinch,Carpodacus erythrinus,812,94310
Pallas's Rosefinch,Carpodacus roseus,Pallas's Rosefinch,Carpodacus roseus,813,275175
House Finch,Haemorhous mexicanus,House Finch,Carpodacus mexicanus,814,1005332
Purple Finch,Haemorhous purpureus,Purple Finch,Carpodacus purpureus,815,1005330
Cassin's Finch,Haemorhous cassinii,Cassin's Finch,Carpodacus cassinii,816,1005331
Red Crossbill,Loxia curvirostra,Red Crossbill,Loxia curvirostra,817,95311
White-winged Crossbill,Loxia leucoptera,White-winged Crossbill,Loxia leucoptera,818,83794
Common Redpoll,Acanthis flammea,Common Redpoll,Carduelis flammea,819,95292
Hoary Redpoll,Acanthis hornemanni,,,820,95288
Eurasian Siskin,Spinus spinus,Eurasian Siskin,Carduelis spinus,821,1005277
Pine Siskin,Spinus pinus,Pine Siskin,Carduelis pinus,822,95297
Lesser Goldfinch,Spinus psaltria,Lesser Goldfinch,Carduelis psaltria,823,95306
Lawrence's Goldfinch,Spinus lawrencei,Lawrence's Goldfinch,Carduelis lawrencei,824,95309
American Goldfinch,Spinus tristis,American Goldfinch,Carduelis tristis,825,95300
Oriental Greenfinch,Chloris sinica,Grey-capped Greenfinch,Carduelis sinica,826,1005322
Evening Grosbeak,Coccothraustes vespertinus,Evening Grosbeak,Coccothraustes vespertinus,827,94282
Hawfinch,Coccothraustes coccothraustes,Hawfinch,Coccothraustes coccothraustes,828,94279
Lapland Longspur,Calcarius lapponicus,Lapland Longspur,Calcarius lapponicus,829,85681
Chestnut-collared Longspur,Calcarius ornatus,Chestnut-collared Longspur,Calcarius ornatus,830,85686
Smith's Longspur,Calcarius pictus,Smith's Longspur,Calcarius pictus,831,85684
McCown's Longspur,Rhynchophanes mccownii,McCown's Longspur,Rhynchophanes mccownii,832,1005256
Snow Bunting,Plectrophenax nivalis,Snow Bunting,Plectrophenax nivalis,833,85688
McKay's Bunting,Plectrophenax hyperboreus,McKay's Bunting,Plectrophenax hyperboreus,834,85691
Ovenbird,Seiurus aurocapilla,Ovenbird,Seiurus aurocapilla,835,628220
Worm-eating Warbler,Helmitheros vermivorum,Worm-eating Warbler,Helmitheros vermivorum,836,628198
Louisiana Waterthrush,Parkesia motacilla,Louisiana Waterthrush,Parkesia motacilla,837,943240
Northern Waterthrush,Parkesia noveboracensis,Northern Waterthrush,Parkesia noveboracensis,838,944721
Bachman's Warbler,Vermivora bachmanii,Bachman's Warbler,Vermivora bachmanii,839,91023
Golden-winged Warbler,Vermivora chrysoptera,Golden-winged Warbler,Vermivora chrysoptera,840,91021
Blue-winged Warbler,Vermivora cyanoptera,Blue-winged Warbler,Vermivora cyanoptera,841,946142
Black-and-white Warbler,Mniotilta varia,Black-and-white Warbler,Mniotilta varia,842,91012
Prothonotary Warbler,Protonotaria citrea,Prothonotary Warbler,Protonotaria citrea,843,91014
Swainson's Warbler,Limnothlypis swainsonii,Swainson's Warbler,Limnothlypis swainsonii,844,91016
Crescent-chested Warbler,Oreothlypis superciliosa,Crescent-chested Warbler,Parula superciliosa,845,942893
Tennessee Warbler,Oreothlypis peregrina,Tennessee Warbler,Vermivora peregrina,846,942308
Orange-crowned Warbler,Oreothlypis celata,Orange-crowned Warbler,Vermivora celata,847,942897
Colima Warbler,Oreothlypis crissalis,Colima Warbler,Vermivora crissalis,848,940538
Lucy's Warbler,Oreothlypis luciae,Lucy's Warbler,Vermivora luciae,849,943679
Nashville Warbler,Oreothlypis ruficapilla,Nashville Warbler,Vermivora ruficapilla,850,942309
Virginia's Warbler,Oreothlypis virginiae,Virginia's Warbler,Vermivora virginiae,851,940540
Connecticut Warbler,Oporornis agilis,Connecticut Warbler,Oporornis agilis,852,92701
Gray-crowned Yellowthroat,Geothlypis poliocephala,Grey-crowned Yellowthroat,Geothlypis poliocephala,853,92726
MacGillivray's Warbler,Geothlypis tolmiei,MacGillivray's Warbler,Oporornis tolmiei,854,942894
Mourning Warbler,Geothlypis philadelphia,Mourning Warbler,Oporornis philadelphia,855,947479
Kentucky Warbler,Geothlypis formosa,Kentucky Warbler,Oporornis formosus,856,945322
Common Yellowthroat,Geothlypis trichas,Common Yellowthroat,Geothlypis trichas,857,92708
Hooded Warbler,Setophaga citrina,Hooded Warbler,Wilsonia citrina,858,944373
American Redstart,Setophaga ruticilla,American Redstart,Setophaga ruticilla,859,92746
Kirtland's Warbler,Setophaga kirtlandii,Kirtland's Warbler,Dendroica kirtlandii,860,943407
Cape May Warbler,Setophaga tigrina,Cape May Warbler,Dendroica tigrina,861,942305
Cerulean Warbler,Setophaga cerulea,Cerulean Warbler,Dendroica cerulea,862,944724
Northern Parula,Setophaga americana,Northern Parula,Parula americana,863,945323
Tropical Parula,Setophaga pitiayumi,Tropical Parula,Parula pitiayumi,864,943822
Magnolia Warbler,Setophaga magnolia,Magnolia Warbler,Dendroica magnolia,865,948608
Bay-breasted Warbler,Setophaga castanea,Bay-breasted Warbler,Dendroica castanea,866,948983
Blackburnian Warbler,Setophaga fusca,Blackburnian Warbler,Dendroica fusca,867,943408
Yellow Warbler,Setophaga petechia,Yellow Warbler,Dendroica petechia,868,945403
Chestnut-sided Warbler,Setophaga pensylvanica,Chestnut-sided Warbler,Dendroica pensylvanica,869,948503
Blackpoll Warbler,Setophaga striata,Blackpoll Warbler,Dendroica striata,870,947480
Black-throated Blue Warbler,Setophaga caerulescens,Black-throated Blue Warbler,Dendroica caerulescens,871,944160
Palm Warbler,Setophaga palmarum,Palm Warbler,Dendroica palmarum,872,944374
Pine Warbler,Setophaga pinus,Pine Warbler,Dendroica pinus,873,945405
Yellow-rumped Warbler,Setophaga coronata,Yellow-rumped Warbler,Dendroica coronata,874,942306
Yellow-throated Warbler,Setophaga dominica,Yellow-throated Warbler,Dendroica dominica,875,946144
Prairie Warbler,Setophaga discolor,Prairie Warbler,Dendroica discolor,876,940535
Grace's Warbler,Setophaga graciae,Grace's Warbler,Dendroica graciae,877,945324
Black-throated Gray Warbler,Setophaga nigrescens,Black-throated Grey Warbler,Dendroica nigrescens,878,942895
Townsend's Warbler,Setophaga townsendi,Townsend's Warbler,Dendroica townsendi,879,943243
Hermit Warbler,Setophaga occidentalis,Hermit Warbler,Dendroica occidentalis,880,950199
Golden-cheeked Warbler,Setophaga chrysoparia,Golden-cheeked Warbler,Dendroica chrysoparia,881,945406
Black-throated Green Warbler,Setophaga virens,Black-throated Green Warbler,Dendroica virens,882,942896
Fan-tailed Warbler,Basileuterus lachrymosus,Fan-tailed Warbler,Euthlypis lachrymosa,883,948258
Rufous-capped Warbler,Basileuterus rufifrons,Rufous-capped Warbler,Basileuterus rufifrons,884,91009
Golden-crowned Warbler,Basileuterus culicivorus,Golden-crowned Warbler,Basileuterus culicivorus,885,266966
Canada Warbler,Cardellina canadensis,Canada Warbler,Wilsonia canadensis,886,949675
Wilson's Warbler,Cardellina pusilla,Wilson's Warbler,Wilsonia pusilla,887,943244
Red-faced Warbler,Cardellina rubrifrons,Red-faced Warbler,Cardellina rubrifrons,888,92737
Painted Redstart,Myioborus pictus,Painted Redstart,Myioborus pictus,889,93546
Slate-throated Redstart,Myioborus miniatus,Slate-throated Redstart,Myioborus miniatus,890,93545
Yellow-breasted Chat,Icteria virens,Yellow-breasted Chat,Icteria virens,891,92730
