CommonName,ScientificName,CNFromBirdlife,SNFromBirdlife,DisplayOrder,ServcatClassID
Light-mantled Albatross,Phoebetria palpebrata,Light-mantled Albatross,Phoebetria palpebrata,371,82410
Wandering Albatross,Diomedea exulans,Wandering Albatross,Diomedea exulans,372,82403
Laysan Albatross,Phoebastria immutabilis,Laysan Albatross,Phoebastria immutabilis,373,265865
Black-footed Albatross,Phoebastria nigripes,Black-footed Albatross,Phoebastria nigripes,374,265867
Short-tailed Albatross,Phoebastria albatrus,Short-tailed Albatross,Phoebastria albatrus,375,265863
Northern Fulmar,Fulmarus glacialis,Northern Fulmar,Fulmarus glacialis,376,82415
Great-winged Petrel,Pterodroma macroptera,Great-winged Petrel,Pterodroma macroptera,377,82473
Providence Petrel,Pterodroma solandri,Providence Petrel,Pterodroma solandri,378,82465
Trindade Petrel,Pterodroma arminjoniana,Trindade Petrel,Pterodroma arminjoniana,379,82453
Murphy's Petrel,Pterodroma ultima,Murphy's Petrel,Pterodroma ultima,380,82477
Mottled Petrel,Pterodroma inexpectata,Mottled Petrel,Pterodroma inexpectata,381,82451
Bermuda Petrel,Pterodroma cahow,Bermuda Petrel,Pterodroma cahow,382,82450
Black-capped Petrel,Pterodroma hasitata,Black-capped Petrel,Pterodroma hasitata,383,82449
Hawaiian Petrel,Pterodroma sandwichensis,Hawaiian Petrel,Pterodroma sandwichensis,384,285692
Fea's Petrel,Pterodroma feae,,Pterodroma feae,385,285683
Zino's Petrel,Pterodroma madeira,Zino's Petrel,Pterodroma madeira,386,285685
Cook's Petrel,Pterodroma cookii,Cook's Petrel,Pterodroma cookii,387,265901
Stejneger's Petrel,Pterodroma longirostris,Stejneger's Petrel,Pterodroma longirostris,388,82466
Bulwer's Petrel,Bulweria bulwerii,Bulwer's Petrel,Bulweria bulwerii,389,266970
White-chinned Petrel,Procellaria aequinoctialis,White-chinned Petrel,Procellaria aequinoctialis,390,82498
Parkinson's Petrel,Procellaria parkinsoni,Black Petrel,Procellaria parkinsoni,391,82499
Streaked Shearwater,Calonectris leucomelas,Streaked Shearwater,Calonectris leucomelas,392,115227
Cory's Shearwater,Calonectris diomedea,Cory's Shearwater,Calonectris borealis,393,115224
Cape Verde Shearwater,Calonectris edwardsii,Cape Verde Shearwater,Calonectris edwardsii,394,625259
Wedge-tailed Shearwater,Ardenna pacifica,Wedge-tailed Shearwater,Ardenna pacifica,395,82431
Buller's Shearwater,Ardenna bulleri,Buller's Shearwater,Ardenna bulleri,396,82433
Short-tailed Shearwater,Ardenna tenuirostris,Short-tailed Shearwater,Ardenna tenuirostris,397,82435
Sooty Shearwater,Ardenna grisea,Sooty Shearwater,Ardenna grisea,398,82434
Great Shearwater,Ardenna gravis,Great Shearwater,Ardenna gravis,399,82429
Pink-footed Shearwater,Ardenna creatopus,Pink-footed Shearwater,Ardenna creatopus,400,82427
Flesh-footed Shearwater,Ardenna carneipes,Flesh-footed Shearwater,Ardenna carneipes,401,82428
Manx Shearwater,Puffinus puffinus,Manx Shearwater,Puffinus puffinus,402,82436
Newell's Shearwater,Puffinis newelli,Newell's Shearwater,Puffinus newelli,403,106518
Black-vented Shearwater,Puffinus opisthomelas,Black-vented Shearwater,Puffinus opisthomelas,404,265903
Audubon's Shearwater,Puffinus lherminieri,Audubon's Shearwater,Puffinus lherminieri,405,82443
Barolo Shearwater,Puffinus baroli,,Puffinus baroli,406,848274
Wilson's Storm-Petrel,Oceanites oceanicus,Wilson's Storm-petrel,Oceanites oceanicus,407,83345
White-faced Storm-Petrel,Pelagodroma marina,White-faced Storm-petrel,Pelagodroma marina,408,82510
European Storm-Petrel,Hydrobates pelagicus,European Storm-petrel,Hydrobates pelagicus,409,83359
Black-bellied Storm-Petrel,Fregetta tropica,Black-bellied Storm-petrel,Fregetta tropica,410,83350
Fork-tailed Storm-Petrel,Oceanodroma furcata,Fork-tailed Storm-petrel,Hydrobates furcatus,411,82514
Ringed Storm-Petrel,Oceanodroma hornbyi,Ringed Storm-petrel,Hydrobates hornbyi,412,83337
Swinhoe's Storm-Petrel,Oceanodroma monorhis,Swinhoe's Storm-petrel,Hydrobates monorhis,413,83336
Leach's Storm-Petrel,Oceanodroma leucorhoa,Leach's Storm-petrel,Hydrobates leucorhous,414,82517
Townsend's Storm-Petrel,Oceanodroma socorroensis,,,415,82523
Ashy Storm-Petrel,Oceanodroma homochroa,Ashy Storm-petrel,Hydrobates homochroa,416,82524
Band-rumped Storm-Petrel,Oceanodroma castro,Band-rumped Storm-petrel,Hydrobates castro,417,82526
Wedge-rumped Storm-Petrel,Oceanodroma tethys,Wedge-rumped Storm-petrel,Hydrobates tethys,418,82528
Black Storm-Petrel,Oceanodroma melania,Black Storm-petrel,Hydrobates melania,419,83334
Tristram's Storm-Petrel,Oceanodroma tristrami,Tristram's Storm-petrel,Hydrobates tristrami,420,83335
Least Storm-Petrel,Oceanodroma microsoma,Least Storm-petrel,Hydrobates microsoma,421,83340
Jabiru,Jabiru mycteria,Jabiru,Jabiru mycteria,422,85511
Wood Stork,Mycteria americana,Wood Stork,Mycteria americana,423,85488
